dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,rBE_small_denominator,alexnet_error,rBE_denominator
blood,pretrained,3,contrast_down,2,0.9910253517357612,0.982966924396312,0.017033075603688053,0.7721418172387208,0.8571299615268231,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,3,contrast_down,3,0.9910253517357612,0.9616035534749796,0.03839644652502039,0.7721418172387208,0.8571299615268231,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,3,contrast_down,4,0.9910253517357612,0.9166968106137713,0.08330318938622872,0.7721418172387208,0.8571299615268231,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,3,contrast_down,5,0.9910253517357612,0.8419882846948016,0.15801171530519842,0.7721418172387208,0.8571299615268231,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,4,contrast_down,1,0.9920144566582404,0.9907007443414817,0.009299255658518302,0.8937965561553662,1.0313828624554053,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,4,contrast_down,2,0.9920144566582404,0.984564462017227,0.015435537982772973,0.8937965561553662,1.0313828624554053,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,4,contrast_down,3,0.9920144566582404,0.9689005270244981,0.031099472975501863,0.8937965561553662,1.0313828624554053,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,4,contrast_down,4,0.9920144566582404,0.9218725849360573,0.07812741506394272,0.8937965561553662,1.0313828624554053,True,False,0.07966068499560328,0.061291402901336584
blood,pretrained,4,contrast_down,5,0.9920144566582404,0.7779594521304976,0.22204054786950245,0.8937965561553662,1.0313828624554053,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,0,contrast_down,1,0.986881642329062,0.9818247475890145,0.0181752524109855,4.972104551563133,6.248231866919571,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,0,contrast_down,2,0.986881642329062,0.9203178887110289,0.07968211128897107,4.972104551563133,6.248231866919571,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,0,contrast_down,3,0.986881642329062,0.640419520831523,0.359580479168477,4.972104551563133,6.248231866919571,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,0,contrast_down,4,0.986881642329062,0.2970059135071907,0.7029940864928093,4.972104551563133,6.248231866919571,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,0,contrast_down,5,0.986881642329062,0.1800256571248627,0.8199743428751373,4.972104551563133,6.248231866919571,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,1,contrast_down,1,0.9886038123934132,0.9708579707231882,0.029142029276811754,5.258427117163337,6.648464535916404,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,1,contrast_down,2,0.9886038123934132,0.8782257792475884,0.12177422075241162,5.258427117163337,6.648464535916404,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,1,contrast_down,3,0.9886038123934132,0.5560503256375904,0.4439496743624096,5.258427117163337,6.648464535916404,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,1,contrast_down,4,0.9886038123934132,0.30791288079247003,0.69208711920753,5.258427117163337,6.648464535916404,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,1,contrast_down,5,0.9886038123934132,0.19250351283572908,0.8074964871642709,5.258427117163337,6.648464535916404,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,2,contrast_down,1,0.978331286151004,0.95694848960583,0.04305151039416999,5.058912828401445,6.221553584086623,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,2,contrast_down,2,0.978331286151004,0.8361675386124494,0.1638324613875506,5.058912828401445,6.221553584086623,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,2,contrast_down,3,0.978331286151004,0.5893714770994218,0.41062852290057816,5.058912828401445,6.221553584086623,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,2,contrast_down,4,0.978331286151004,0.3672849491398535,0.6327150508601465,5.058912828401445,6.221553584086623,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,2,contrast_down,5,0.978331286151004,0.23524523932492544,0.7647547606750745,5.058912828401445,6.221553584086623,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,3,contrast_down,1,0.9881007357017896,0.9746691020046856,0.025330897995314405,5.125611714923497,6.4676358701105805,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,3,contrast_down,2,0.9881007357017896,0.8909014466950793,0.10909855330492069,5.125611714923497,6.4676358701105805,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,3,contrast_down,3,0.9881007357017896,0.5735490086364019,0.4264509913635981,5.125611714923497,6.4676358701105805,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,3,contrast_down,4,0.9881007357017896,0.30953260053737974,0.6904673994626203,5.125611714923497,6.4676358701105805,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,3,contrast_down,5,0.9881007357017896,0.2097991409649805,0.7902008590350195,5.125611714923497,6.4676358701105805,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,4,contrast_down,1,0.988147309202292,0.9751534832061004,0.024846516793899598,5.500034657980051,6.955034758182138,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,4,contrast_down,2,0.988147309202292,0.8776536119792205,0.12234638802077946,5.500034657980051,6.955034758182138,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,4,contrast_down,3,0.988147309202292,0.5312018101544558,0.4687981898455442,5.500034657980051,6.955034758182138,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,4,contrast_down,4,0.988147309202292,0.22732301915182737,0.7726769808481726,5.500034657980051,6.955034758182138,True,False,0.07966068499560328,0.061291402901336584
blood,scratch,4,contrast_down,5,0.988147309202292,0.19798543373714833,0.8020145662628517,5.500034657980051,6.955034758182138,True,False,0.07966068499560328,0.061291402901336584
